,country,Name,earnings_ttm,Group_Sum
4,United States,McDonald,10322000000.0,55964733000.0
2,Switzerland,Nestlé,15109000000.0,16354596800.0
3,United Kingdom,Unilever,8072460000.0,12757545000.0
1,Japan,Kirin Holdings,1650090000.0,8143066400.0
0,France,Danone,5329600000.0,6066171170.0
